Iterasi KE - 123 | Cost : 0.03401028953827348
Iterasi KE - 124 | Cost : 0.0338457682926331
Iterasi KE - 125 | Cost : 0.033679304548308975
Iterasi KE - 126 | Cost : 0.033510907058975484
Iterasi KE - 127 | Cost : 0.03334058650196297
Iterasi KE - 128 | Cost : 0.033168355582393776
Iterasi KE - 129 | Cost : 0.032994229141901386
Iterasi KE - 130 | Cost : 0.032818224272106844
Iterasi KE - 131 | Cost : 0.032640360433059006
Iterasi KE - 132 | Cost : 0.03246065957683305
Iterasi KE - 133 | Cost : 0.03227914627649744
Iterasi KE - 134 | Cost : 0.03209584786067071
Iterasi KE - 135 | Cost : 0.03191079455389227
Iterasi KE - 136 | Cost : 0.03172401962304552
Iterasi KE - 137 | Cost : 0.03153555953007392
Iterasi KE - 138 | Cost : 0.03134545409124881
Iterasi KE - 139 | Cost : 0.031153746643254314
Iterasi KE - 140 | Cost : 0.03096048421635577
Iterasi KE - 141 | Cost : 0.030765717714954455
Iterasi KE - 142 | Cost : 0.030569502105806105
Iterasi KE - 143 | Cost : 0.030371896614225062
Iterasi KE - 144 | Cost : 0.030172964928593744
Iterasi KE - 145 | Cost : 0.029972775413507236
Iterasi KE - 146 | Cost : 0.02977140133189709
Iterasi KE - 147 | Cost : 0.02956892107650718
Iterasi KE - 148 | Cost : 0.02936541841108136
Iterasi KE - 149 | Cost : 0.02916098272165861
Iterasi KE - 150 | Cost : 0.028955709278388246
Iterasi KE - 151 | Cost : 0.02874969950825992
Iterasi KE - 152 | Cost : 0.028543061279224225
Iterasi KE - 153 | Cost : 0.028335909196115547
Iterasi KE - 154 | Cost : 0.02812836490888316
Iterasi KE - 155 | Cost : 0.027920557433597126
Iterasi KE - 156 | Cost : 0.027712623486753404
Iterasi KE - 157 | Cost : 0.027504707833397916
Iterasi KE - 158 | Cost : 0.027296963649622964
Iterasi KE - 159 | Cost : 0.027089552900005216
Iterasi KE - 160 | Cost : 0.026882646730588294
Iterasi KE - 161 | Cost : 0.026676425878003965
Iterasi KE - 162 | Cost : 0.026471081095402013
Iterasi KE - 163 | Cost : 0.026266813595833577
Iterasi KE - 164 | Cost : 0.02606383551378428
Iterasi KE - 165 | Cost : 0.02586237038558215
Iterasi KE - 166 | Cost : 0.02566265364941952
Iterasi KE - 167 | Cost : 0.025464933165770694
Iterasi KE - 168 | Cost : 0.025269469759007044
Iterasi KE - 169 | Cost : 0.025076537781046022
Iterasi KE - 170 | Cost : 0.024886425697916856
